[32m[I 2021-12-11 00:07:41,608][0m A new study created in memory with name: no-name-084afed4-b5e2-4175-821c-296985fe5515[0m
[32m[I 2021-12-11 01:22:01,213][0m Trial 19 finished with value: -2202.0361328125 and parameters: {'r_scaling': 0.9825302154142161, 'unroll': 1, 'update_epoch': 10, 'discount': 0.9809017150590202, 'lr': 0.0003989764183267263, 'entropy': 0.09633137119675346}. Best is trial 19 with value: -2202.0361328125.[0m
[32m[I 2021-12-11 01:25:47,757][0m Trial 20 finished with value: -623.07177734375 and parameters: {'r_scaling': 1.2540887842474489, 'unroll': 1, 'update_epoch': 5, 'discount': 0.9817849082160163, 'lr': 0.00047426503617326867, 'entropy': 0.07836823196675084}. Best is trial 19 with value: -2202.0361328125.[0m
[32m[I 2021-12-11 01:29:52,205][0m Trial 21 finished with value: -679.028564453125 and parameters: {'r_scaling': 4.542894177919921, 'unroll': 2, 'update_epoch': 10, 'discount': 0.9784429325547424, 'lr': 0.000268172913000177, 'entropy': 0.03435618156038192}. Best is trial 19 with value: -2202.0361328125.[0m
[32m[I 2021-12-11 01:34:10,897][0m Trial 22 finished with value: -1106.818603515625 and parameters: {'r_scaling': 0.7520870358195594, 'unroll': 1, 'update_epoch': 10, 'discount': 0.9551771207390354, 'lr': 0.0003637203657574702, 'entropy': 0.017092544925980575}. Best is trial 19 with value: -2202.0361328125.[0m
[32m[I 2021-12-11 01:38:30,863][0m Trial 23 finished with value: -3571.24853515625 and parameters: {'r_scaling': 0.8080752834398609, 'unroll': 3, 'update_epoch': 13, 'discount': 0.9849332546541096, 'lr': 0.00022090860475053588, 'entropy': 0.09881445364842649}. Best is trial 23 with value: -3571.24853515625.[0m
[32m[I 2021-12-11 01:42:51,116][0m Trial 24 finished with value: -740.041259765625 and parameters: {'r_scaling': 13.035325069464214, 'unroll': 3, 'update_epoch': 13, 'discount': 0.9846967650979028, 'lr': 0.00020751772221115893, 'entropy': 0.051748251506468654}. Best is trial 23 with value: -3571.24853515625.[0m
[32m[I 2021-12-11 01:46:36,210][0m Trial 25 finished with value: -1286.3111572265625 and parameters: {'r_scaling': 1.1313562116667255, 'unroll': 5, 'update_epoch': 9, 'discount': 0.9914079295110466, 'lr': 0.00024068710927128653, 'entropy': 0.09798340529446622}. Best is trial 23 with value: -3571.24853515625.[0m
[32m[I 2021-12-11 01:50:58,168][0m Trial 26 finished with value: -1494.1435546875 and parameters: {'r_scaling': 2.360409903815162, 'unroll': 3, 'update_epoch': 13, 'discount': 0.966771938041216, 'lr': 0.0005436232732675679, 'entropy': 0.00860436482905934}. Best is trial 23 with value: -3571.24853515625.[0m
[32m[I 2021-12-11 01:55:19,157][0m Trial 27 finished with value: -3859.5517578125 and parameters: {'r_scaling': 0.18321543963343342, 'unroll': 1, 'update_epoch': 9, 'discount': 0.9836576729473409, 'lr': 0.0004043297280506709, 'entropy': 0.001054461261419303}. Best is trial 27 with value: -3859.5517578125.[0m
[32m[I 2021-12-11 01:58:53,772][0m Trial 28 finished with value: -862.6637573242188 and parameters: {'r_scaling': 0.16323517666788775, 'unroll': 3, 'update_epoch': 5, 'discount': 0.9850544086976855, 'lr': 0.0002310082866544157, 'entropy': 0.001406649698198453}. Best is trial 27 with value: -3859.5517578125.[0m
[32m[I 2021-12-11 02:02:24,168][0m Trial 29 finished with value: -694.5643920898438 and parameters: {'r_scaling': 0.0951598248692905, 'unroll': 13, 'update_epoch': 9, 'discount': 0.994107619568641, 'lr': 0.00031008992795838493, 'entropy': 0.00011866353852258812}. Best is trial 27 with value: -3859.5517578125.[0m
[32m[I 2021-12-11 02:05:34,260][0m Trial 30 finished with value: -639.3115234375 and parameters: {'r_scaling': 0.05116567890976834, 'unroll': 11, 'update_epoch': 6, 'discount': 0.9469346300642323, 'lr': 0.00016018703256089894, 'entropy': 0.0011993211988511284}. Best is trial 27 with value: -3859.5517578125.[0m
[32m[I 2021-12-11 02:09:52,003][0m Trial 31 finished with value: -1103.184814453125 and parameters: {'r_scaling': 0.29132670418037626, 'unroll': 1, 'update_epoch': 9, 'discount': 0.9757488370187278, 'lr': 0.00042655762056749343, 'entropy': 0.0010682797809021406}. Best is trial 27 with value: -3859.5517578125.[0m
